Original,Furigana,English,JLPT Level,Korean
揚げる,あげる,"to lift, to fry",N3,"들어 올리다, 튀기다"
挙げる,あげる,"to raise; to list, to cite",N3,"키우다; 나열하다, 인용하다"
預かる,あずかる,to keep (something) for (someone),N3,(누군가)를 위해 (무엇)을 유지하다
預ける,あずける,"to give into custody, to deposit",N3,"구금하다, 예치하다"
汗,あせ,"sweat, perspiration",N3,"땀, 땀"
与える,あたえる,to give,N3,주다
温かい,あたたかい,warm,N3,따뜻한
暖まる,あたたまる,to warm up,N3,워밍업하다
温まる,あたたまる,"to warm oneself, to get warm",N3,"몸을 따뜻하게 하다, 몸을 따뜻하게 하다"
暖める,あたためる,"to warm (up to someone/something), to heat (up to someone/something)",N3,"(누군가/무엇에게) 따뜻하게 하다, (누군가/무엇에게) 따뜻하게 하다"
温める,あたためる,"to warm, to heat",N3,"따뜻하게 하다, 가열하다"
辺り,あたり,"vicinity, nearby",N3,"근처, 근처"
当たり前,あたりまえ,"usual, common, obvious",N3,"보통의, 흔한, 명백한"
当たる,あたる,"to be hit, to be successful",N3,"맞다, 성공하다"
あちこち,あちこち,here and there,N3,이리저리
扱う,あつかう,"to treat, to handle, to deal with",N3,"다루다, 처리하다, 처리하다"
集まり,あつまり,"gathering, meeting, collection",N3,"모임, 모임, 수집"
当てる,あてる,to hit; to apply to,N3,치다; 신청하다
跡,あと,trace; remains; scar,N3,추적하다; 유적; 흉터
穴,あな,hole,N3,구멍
油,あぶら,oil,N3,기름
脂,あぶら,fat,N3,지방
誤り,あやまり,error,N3,오류
粗,あら,"defect, flaw, fault",N3,"결점, 결점, 결점"
嵐,あらし,storm,N3,폭풍
争う,あらそう,"to dispute, to argue, to fight",N3,"논쟁하다, 논쟁하다, 싸우다"
新た,あらた,"new, fresh",N3,"새로운, 신선한"
あらゆる,あらゆる,"all, every",N3,"모두, 매"
表す,あらわす,"to express, to show",N3,"표현하다, 보여주다"
現す,あらわす,"to show, to appear, to reveal",N3,"보여주다, 나타나다, 드러내다"
著す,あらわす,"to write, to publish",N3,"집필하다, 출판하다"
現れ,あらわれ,"expression, indication, sign",N3,"표현, 표시, 기호"
現れる,あらわれる,"to appear (v.i.), to become visible; to express",N3,"나타나다 (v.i.), 눈에 띄게 되다; 표현하다"
ありがとう,ありがとう,Thank you,N3,감사합니다
在る; 有る,ある,"to live, to be, to exist",N3,"살아가다, 존재하다, 존재하다"
或,ある,"a certain..., some...",N3,"특정..., 일부..."
あるいは,あるいは,"or, perhaps",N3,아니면 아마도
アルバム,アルバム,album,N3,앨범
泡,あわ,"bubble, foam",N3,"거품, 거품"
合わせる,あわせる,to combine,N3,결합하다
慌てる,あわてる,to become confused、to panic,N3,"당황하다, 당황하다"
哀れ,あわれ,"helpless, pity, pathetic",N3,"무력한, 불쌍한, 한심한"
案,あん,"plan, scheme, proposal",N3,"계획, 계획, 제안"
案外,あんがい,unexpectedly,N3,뜻밖에
暗記,あんき,"memorization, learning by heart",N3,"암기, 마음으로 학습"
安定,あんてい,"stability, equilibrium",N3,"안정성, 균형"
あんなに,あんなに,"to that extent, to that degree",N3,"그 정도, 그 정도"
あんまり,あんまり,"not very, not much",N3,"별로, 별로"
胃,い,stomach,N3,위
委員,いいん,committee member,N3,위원회 위원
意外,いがい,"unexpected, surprising",N3,"예상치 못한, 놀라운"
行き,いき,going,N3,가고 있다
行き,ゆき,going,N3,가고 있다
息,いき,breath,N3,호흡
勢い,いきおい,"force, vigor, momentum",N3,"힘, 활력, 추진력"
生き物,いきもの,"living thing, creature",N3,"생물, 생물"
いけない,いけない,"must not do, bad, wrong",N3,"하지 말아야 할 것, 나쁜 것, 잘못된 것"
医師,いし,"doctor, physician",N3,"의사, 의사"
意思,いし,"intention, purpose",N3,"의도, 목적"
意志,いし,"will, volition",N3,"의지, 의지"
維持,いじ,"maintenance, preservation",N3,"유지, 보존"
意識,いしき,"consciousness, senses",N3,"의식, 감각"
異常,いじょう,"strangeness, abnormality, disorder",N3,"이상함, 이상함, 무질서"
意地悪,いじわる,"malicious, mean, unkind",N3,"악의적인, 못된, 불친절한"
泉,いずみ,"spring, fountain",N3,"봄, 분수"
いずれ,いずれ,"where, which, who",N3,"어디서, 어느, 누구"
以前,いぜん,in the past; before,N3,과거에; ~ 전에
板,いた,"board, plank",N3,"판자, 판자"
偉大,いだい,greatness,N3,위대
抱く,いだく,"to hold (v.t.) (written expression), to embrace, to harbor",N3,"붙잡다 (v.t.) (서면 표현), 포옹하다, 품다"
いたずら,いたずら,"trick, practical joke",N3,"속임수, 장난"
いただきます,いただきます,expression of gratitude before meals,N3,식사 전 감사의 표현
痛み,いたみ,"pain, ache, sore",N3,"고통, 아프다, 아프다"
至る,いたる,"to come, to arrive",N3,"오다, 도착하다"
市,いち,"market, fair",N3,"시장, 박람회"
位置,いち,"place, position",N3,"장소, 위치"
一時,いちじ,"for a time, temporarily",N3,"한동안, 일시적으로"
一度に,いちどに,all at once,N3,한꺼번에
市場,いちば,"market, bazaar",N3,"시장, 바자회"
いつか,いつか,"sometime, one day",N3,"언젠가, 언젠가"
一家,いっか,"family, clan",N3,"가족, 씨족"
一種,いっしゅ,"a species, a kind, a variety",N3,"종, 종류, 다양성"
一瞬,いっしゅん,"a moment, an instant",N3,"순간, 순간"
一生,いっしょう,throughout (one's) life,N3,(사람의) 일생 동안
一層,いっそう,"much more, still more",N3,"훨씬 더, 훨씬 더"
一体,いったい,one object; body; what on earth?; generally,N3,하나의 개체; 몸; 도대체 뭐야?; 일반적으로
一致,いっち,agreement; conformity,N3,합의; 적합성
いつでも,いつでも,"(at) any time, always",N3,"(at) 언제든지, 언제나"
いつのまにか,いつのまにか,before one knows,N3,알기도 전에
一般,いっぱん,"general, average",N3,"일반, 평균"
一方,いっぽう,on the other hand; meanwhile,N3,반면에; 그 동안에
いつまでも,いつまでも,"forever, for good, eternally",N3,"영원히, 영원히, 영원히"
移動,いどう,"migration, movement",N3,"이주, 이동"
従兄弟,いとこ,cousin (male),N3,사촌(남자)
従姉妹,いとこ,cousin (female),N3,사촌(여)
稲,いね,rice-plant,N3,벼
居眠り,いねむり,"dozing, nodding off",N3,"졸다, 꾸벅꾸벅 졸다"
命,いのち,life,N3,삶
違反,いはん,"violation (of law), infringement",N3,"(법률을) 위반하다, 위반하다"
衣服,いふく,clothes,N3,옷
居間,いま,living room,N3,거실
今に,いまに,"before long, soon",N3,"머지않아, 곧"
今にも,いまにも,"at any time, soon",N3,"언제든지, 곧"
イメージ,イメージ,one's image,N3,자신의 이미지
否,いや,"no, the noes",N3,"아니, 아니"
以来,いらい,"since, henceforth",N3,"이후로, 앞으로"
依頼,いらい,request; dependence,N3,요구; 의존
いらいら,いらいら,"getting nervous, irritation",N3,"긴장, 짜증"
いらっしゃい,いらっしゃい,welcome,N3,환영
医療,いりょう,"medical care, medical treatment",N3,"의료, 진료"
岩,いわ,rock,N3,바위
祝い,いわい,"celebration, festival",N3,"축하, 축제"
祝う,いわう,"to congratulate, to celebrate",N3,"축하하다, 축하하다"
言わば,いわば,so to speak,N3,말하자면
いわゆる,いわゆる,"the so-called, so-to-speak",N3,"이른바, 말하자면"
インク,インク,ink,N3,잉크
印刷,いんさつ,printing,N3,인쇄
印象,いんしょう,impression,N3,인상
引退,いんたい,retirement,N3,퇴직
インタビュー,インタビュー,interview,N3,회견
引用,いんよう,"quotation, citation",N3,"인용, 인용"
ウイスキー,ウイスキー,whiskey,N3,위스키
上,うわ,"upper, outer, surface",N3,"상부, 외부, 표면"
魚,うお,fish,N3,물고기
うがい,うがい,gargling,N3,양치질
受け取る,うけとる,"to receive, to get, to accept",N3,"받다, 받다, 받아들이다"
動かす,うごかす,"to move, to shift",N3,"움직이다, 이동하다"
兎,うさぎ,"rabbit, hare",N3,"토끼, 토끼"
牛,うし,"cattle, cow",N3,"소, 소"
失う,うしなう,"to lose, to part with",N3,"잃다, 헤어지다"
疑う,うたがう,"to doubt, to distrust",N3,"의심하다, 불신하다"
宇宙,うちゅう,"universe, cosmos, space",N3,"우주, 코스모스, 우주"
討つ,うつ,"to attack, to avenge",N3,"공격하다, 복수하다"
撃つ,うつ,"to attack, to shoot",N3,"공격하다, 쏘다"
うっかり,うっかり,carelessly; inadvertently,N3,마구; 무심코
映す,うつす,"to project, to reflect, to cast (shadow)",N3,"투사하다, 반사하다, 투사하다(그림자)"
訴える,うったえる,"to complain, to appeal, to sue (a person)",N3,"(사람을) 고소하다, 항소하다, 고소하다"
写る,うつる,"to be photographed, to be projected",N3,"사진을 찍다, 투영하다"
映る,うつる,"to be reflected, to come out (photo)",N3,"비치다, 나오다 (사진)"
うなる,うなる,"to groan, to moan",N3,"신음하다, 신음하다"
奪う,うばう,"to rob, to deprive",N3,"빼앗다, 빼앗다"
馬,うま,horse; promoted bishop (in Japanese chess known as shogi),N3,말; 주교로 승격됨(일본 체스에서는 장기라고 함)
生まれ,うまれ,"birth, birth-place",N3,"출생, 출생지"
有無,うむ,"yes or no, presence or absence",N3,"예 또는 아니오, 존재 또는 부재"
梅,うめ,"plum, lowest (of a three-tier ranking system)",N3,"매실, 가장 낮은 (3단계 순위 시스템 중)"
埋める,うめる,"to bury, to fill up, to fill (a seat, a vacant position)",N3,"(자리, 빈 자리를) 채우다, 채우다, 채우다"
裏切る,うらぎる,"to betray, to turn traitor",N3,"배신하다, 배신자로 변하다"
羨ましい,うらやましい,"envious, enviable",N3,"부러워하다, 부러워하다"
売れる,うれる,to be sold,N3,판매될
噂,うわさ,"rumor, gossip",N3,"소문, 가십"
運,うん,"fortune, luck",N3,"행운, 행운"
運転,うんてん,"operation, driving",N3,"조작, 운전"
柄,え,"handle (of a sword, dagger, etc.), grip",N3,"(칼, 단검 등의) 손잡이, 손잡이"
永遠,えいえん,"eternity, perpetuity, immortality",N3,"영원, 영속, 불멸"
永久,えいきゅう,"eternity, perpetuity, immortality",N3,"영원, 영속, 불멸"
影響,えいきょう,"influence, effect",N3,"영향, 효과"
営業,えいぎょう,"business, trade, management",N3,"사업, 무역, 경영"
衛星,えいせい,satellite,N3,위성
栄養,えいよう,"nutrition, nourishment",N3,"영양, 영양"
笑顔,えがお,smile (on one's face),N3,(얼굴에) 미소를 짓다
描く,えがく,"to draw, to depict, to describe",N3,"그리다, 묘사하다, 묘사하다"
餌,えさ,"feed, bait",N3,"먹이, 미끼"
エネルギー,エネルギー,energy (GER: energie),N3,에너지 (GER: 에너지)
得る,える,"to get, to gain, to win, to learn",N3,"얻다, 얻다, 이기다, 배우다"
得る,うる,"to get, to gain, to win",N3,"얻다, 얻다, 이기다"
円,えん,"circle, yen",N3,"원, 엔"
延期,えんき,"postponement, adjournment",N3,"연기, 연기"
演技,えんぎ,"acting, performance",N3,"연기, 퍼포먼스"
援助,えんじょ,"assistance, aid, support",N3,"도움, 원조, 지원"
エンジン,エンジン,engine,N3,엔진
演説,えんぜつ,"speech, address",N3,"연설, 주소"
演奏,えんそう,musical performance,N3,연주
老い,おい,"old age, the aged",N3,"노년, 노인"
追い付く,おいつく,"to overtake, to catch up (with)",N3,"따라잡다, 따라잡다 (~를)"
王,おう,king,N3,왕
追う,おう,"to chase, to run after",N3,"쫓다, 뒤쫓다"
応援,おうえん,"aid, assistance, help",N3,"원조, 도움, 도움"
王様,おうさま,king,N3,왕
王子,おうじ,prince,N3,왕자
応じる,おうじる,"to adapt, to respond, to comply with",N3,"적응하다, 대응하다, 준수하다"
横断,おうだん,crossing,N3,횡단
終える,おえる,to finish,N3,끝내다
大いに,おおいに,"much, considerably (same as 大? (たいへん)), greatly",N3,"많이, 상당히 (大? (たいへん)과 동일), 크게"
覆う,おおう,"to cover, to hide, to conceal",N3,"가리다, 숨기다, 감추다"
大家,おおや,landlord,N3,주인
丘,おか,"hill, height",N3,"언덕, 높이"
沖,おき,open sea,N3,넓은 바다
奥,おく,"interior, inner part",N3,"내부, 내부 부분"
贈る,おくる,"to present, to give to, to award to",N3,"선물하다, 주다, 수여하다"
起こる,おこる,"to occur, to happen",N3,"발생하다, 발생하다"
押える,おさえる,"to stop, to restrain, to press down",N3,"멈추다, 제지하다, 누르다"
幼い,おさない,"very young, childish",N3,"아주 어리다, 유치하다"
収める,おさめる,"to store to pay, to supply",N3,"저장하다, 지불하다, 공급하다"
納める,おさめる,"to store to pay, to supply",N3,"저장하다, 지불하다, 공급하다"
治める,おさめる,"to govern, to manage; to subdue",N3,"통치하다, 관리하다; 제압하다"
お辞儀,おじぎ,bow,N3,절하다
お洒落,おしゃれ,"smartly dressed, fashion-conscious",N3,"세련된 옷차림, 패션에 민감한"
お喋り,おしゃべり,"chattering, talk",N3,"수다쟁이, 이야기하다"
汚染,おせん,"pollution, contamination",N3,"오염, 오염"
恐らく,おそらく,perhaps,N3,아마도
恐れる,おそれる,"to fear, to be afraid of",N3,"두려워하다, 두려워하다"
恐ろしい,おそろしい,"terrible, dreadful",N3,"끔찍한, 무서운"
教わる,おそわる,to be taught,N3,가르쳐지다
お互い,おたがい,"mutual, reciprocal, each other",N3,"상호적인, 상호적인, 서로"
穏やか,おだやか,"calm, gentle, quiet",N3,"차분하다, 온화하다, 조용하다"
男の人,おとこのひと,man,N3,남성
大人しい,おとなしい,"obedient, docile, quiet",N3,"순종적인, 유순한, 조용한"
劣る,おとる,"to fall behind, to be inferior to",N3,"뒤쳐지다, 뒤쳐지다"
鬼,おに,"ogre, demon, 'it' (e.g.,in a game of tag)",N3,"오우거, 악마, '그것'(예: 태그 게임에서)"
帯,おび,"band, sash",N3,"밴드, 새시"
お昼,おひる,"lunch, noon",N3,"점심, 정오"
オフィス,オフィス,office,N3,사무실
溺れる,おぼれる,"to be drowned, to indulge in",N3,"익사하다, 탐닉하다"
お前,おまえ,"you (sing), presence (of a high personage)",N3,"당신(노래하다), 존재(고귀한 인물)"
おめでとう,おめでとう,"Congratulations!, an auspicious occasion!",N3,"축하합니다!, 경사스러운 행사입니다!"
お目に掛かる,おめにかかる,"meet ~, see ~",N3,"~를 만나다, ~를 만나다"
思い付く,おもいつく,"to think of, to hit upon",N3,"생각하다, 부딪치다"
思い出,おもいで,"memories, recollections, reminiscence",N3,"기억, 추억, 회상"
主に,おもに,"mainly, primarily",N3,"주로, 주로"
思わず,おもわず,"unintentional, spontaneous",N3,"의도하지 않은, 즉흥적인"
泳ぎ,およぎ,swimming,N3,수영
およそ,およそ,"about, roughly, approximately",N3,"대략, 대략, 대략"
及ぼす,およぼす,"to exert, to cause, to exercise",N3,"발휘하다, 유발하다, 운동시키다"
下す,おろす,"to lower, to let go down",N3,"낮추다, 내리게 하다"
降ろす,おろす,"to take down, to launch, to drop",N3,"쓰러뜨리다, 발사하다, 떨어뜨리다"
卸す,おろす,"to sell wholesale, grated (vegetables)",N3,"도매 판매, 갈은 것 (야채)"
音,おん,"sound, note",N3,"소리, 메모"
恩,おん,"favor, obligation, debt of gratitude",N3,"호의, 의무, 감사의 빚"
温暖,おんだん,warmth,N3,따뜻함
温度,おんど,temperature,N3,온도
可,か,passable,N3,상당한
蚊,か,mosquito,N3,모기
課,か,"department, division",N3,"부서, 부문"
カー,カー,car,N3,자동차
カード,カード,"card, curd",N3,"카드, 두부"
貝,かい,"shell, shellfish",N3,"조개, 조개"
害,がい,"harm, damage",N3,"피해, 손상"
会員,かいいん,"member, the membership",N3,"회원, 회원"
絵画,かいが,"picture, painting",N3,"그림, 그림"
海外,かいがい,"foreign, abroad, overseas",N3,"외국, 해외, 해외"
会計,かいけい,"account, finance",N3,"회계, 금융"
解決,かいけつ,"settlement, solution, resolution",N3,"해결, 해결, 결의"
会合,かいごう,"meeting, assembly",N3,"회의, 집회"
外交,がいこう,diplomacy,N3,외교
開始,かいし,"start, commencement, beginning",N3,"시작하다, 시작하다, 시작하다"
解釈,かいしゃく,"explanation, interpretation",N3,"설명, 해석"
外出,がいしゅつ,"outing, going out",N3,"나들이, 외출"
改善,かいぜん,"betterment, improvement",N3,"개선, 개선"
快適,かいてき,"pleasant, agreeable",N3,"기분 좋은, 기분 좋은"
回復,かいふく,"recovery (from illness), rehabilitation, restoration",N3,"(질병으로부터의) 회복, 재활, 회복"
飼う,かう,to keep; to own (a pet); to raise; to feed,N3,유지하다; (애완동물을) 소유하다; 키우다; 먹이를 주다
帰す,かえす,to send back,N3,다시 보내다
代える,かえる,"to exchange, to interchange, to substitute",N3,"교환하다, 교환하다, 대체하다"
替える,かえる,"to exchange, to interchange, to substitute",N3,"교환하다, 교환하다, 대체하다"
換える,かえる,"to exchange, to interchange, to substitute",N3,"교환하다, 교환하다, 대체하다"
反る,かえる,"to warp, to be warped, to curve",N3,"휘어지다, 휘어지다, 휘어지다"
香り,かおり,"aroma, fragrance",N3,"아로마, 향수"
画家,がか,painter,N3,화가
抱える,かかえる,to hold or carry under or in the arms,N3,안거나 팔에 안고 들고 다니다
価格,かかく,"price, value",N3,"가격, 가치"
化学,かがく,chemistry,N3,화학
輝く,かがやく,"to shine, to glitter, to sparkle",N3,"빛나다, 반짝거리다, 반짝거리다"
係,かかり,person in charge,N3,담당자
罹る,かかる,to suffer from,N3,고통을 받다
限る,かぎる,"to restrict, to limit, to confine",N3,"제한하다, 제한하다, 제한하다"
掻く,かく,to scratch,N3,긁다
描く,かく,"to draw, to depict, to describe",N3,"그리다, 묘사하다, 묘사하다"
嗅ぐ,かぐ,"to sniff, to smell",N3,"냄새를 맡다, 냄새를 맡다"
家具,かぐ,furniture,N3,가구
学,がく,"learning, knowledge",N3,"학습, 지식"
額,がく,amount; frame,N3,양; 액자
覚悟,かくご,"resolution, resignation, readiness",N3,"결심, 사임, 준비"
確実,かくじつ,"certainty, reliability, soundness",N3,"확실성, 신뢰성, 건전성"
学者,がくしゃ,scholar,N3,학자
学習,がくしゅう,"study, learning",N3,"공부하다, 배우다"
隠す,かくす,"to hide, to conceal",N3,"숨기다, 숨기다"
拡大,かくだい,"magnification, enlargement",N3,"확대, 확대"
確認,かくにん,"affirmation, confirmation",N3,"긍정, 확인"
学問,がくもん,"scholarship, study, learning",N3,"장학금, 공부, 배움"
隠れる,かくれる,"to hide, to be hidden",N3,"숨기다, 숨겨지다"
影,かげ,"shade, shadow, other side",N3,"그늘, 그림자, 반대편"
陰,かげ,"shade, shadow, other side",N3,"그늘, 그림자, 반대편"
欠ける,かける,to be lacking,N3,부족하다
加減,かげん,adjustment; addition and subtraction,N3,조정; 덧셈과 뺄셈
過去,かこ,past,N3,과거
籠,かご,"basket, cage",N3,"바구니, 케이지"
囲む,かこむ,"to surround, to encircle",N3,"둘러싸다, 둘러싸다"
火災,かさい,"conflagration, fire",N3,"화재, 화재"
重なる,かさなる,"to be piled up, lie on top of one another",N3,"쌓이다, 겹겹이 쌓이다"
重ねる,かさねる,"to pile up, to put something on another, to heap up",N3,"쌓다, 다른 것 위에 쌓다, 쌓다"
飾り,かざり,decoration,N3,장식
貸し,かし,"loan, lending",N3,"대출, 대출"
菓子,かし,"confectionery, sweet",N3,"과자, 달콤한"
家事,かじ,household matters; housework (same as 家の仕事 (いえのしごと)),N3,가사 문제; 가사 (いえのしごと)와 동일)
賢い,かしこい,"wise, clever, smart",N3,"현명한, 영리한, 똑똑한"
歌手,かしゅ,singer,N3,가수
数,かず,"number, figure, amount",N3,"숫자, 숫자, 양"
稼ぐ,かせぐ,"to earn income, to labor",N3,"수입을 올리다, 노동하다"
数える,かぞえる,to count,N3,계산하다
型,かた,"mold, model, style",N3,"틀, 모델, 스타일"
肩,かた,shoulder,N3,어깨
堅い,かたい,"hard, firm, solid",N3,"단단한, 확고한, 견고한"
硬い,かたい,"hard, firm, solid",N3,"단단한, 확고한, 견고한"
方々,かたがた,persons,N3,명
片付く,かたづく,"to put in order, to solve",N3,"정리하다, 해결하다"
刀,かたな,"sword, saber",N3,"검, 세이버"
語る,かたる,"to talk, to tell, to recite",N3,"말하다, 말하다, 암송하다"
勝ち,かち,"win, victory",N3,"승리, 승리"
価値,かち,"value, worth, merit",N3,"가치, 가치, 장점"
がっかり,がっかり,"feel disappointed, be dejected, lose heart",N3,"실망하다, 낙담하다, 낙담하다"
活気,かっき,vigor; liveliness; vitality; energy,N3,활기; 명랑; 활력; 에너지
楽器,がっき,musical instrument,N3,악기
学期,がっき,term (school),N3,학기 (학교)
活動,かつどう,"action, activity",N3,"행동, 활동"
活躍,かつやく,activity,N3,활동
活用,かつよう,conjugation; practical use,N3,활용; 실제 사용
仮定,かてい,"assumption, supposition, hypothesis",N3,"가정, 가정, 가설"
過程,かてい,process,N3,프로세스
課程,かてい,"course, curriculum",N3,"코스, 커리큘럼"
悲しむ,かなしむ,"to be sad, to mourn for, to regret",N3,"슬퍼하다, 슬퍼하다, 후회하다"
必ずしも,かならずしも,"(not) always, (not) necessarily",N3,"(아님) 항상, (아님) 반드시"
かなり,かなり,"considerably, fairly, quite",N3,"상당히, 상당히, 꽤"
金,かね,"gold, metal; money",N3,"금, 금속; 돈"
鐘,かね,"bell, chime",N3,"벨, 차임"
可能,かのう,"possible, practicable, feasible",N3,"가능한, 실행 가능한, 실행 가능한"
株,かぶ,stock; stump (of tree),N3,재고; 그루터기(나무의)
被る,かぶる,to wear; to be covered with,N3,입다; 덮다
我慢,がまん,"patience, endurance, perseverance",N3,"인내, 인내, 끈기"
上,かみ,first volume; superior quality; governmental,N3,첫 번째 볼륨; 우수한 품질; 정부
神,かみ,god,N3,하나님
雷,かみなり,thunder,N3,우뢰
髪の毛,かみのけ,hair (head),N3,머리(머리)
科目,かもく,"(school) subject, curriculum, course",N3,"(학교) 과목, 커리큘럼, 코스"
かもしれない,かもしれない,"maybe, perhaps",N3,"아마도, 어쩌면"
かゆい,かゆい,"itchy, itching",N3,"가려움증, 가려움증"
歌謡,かよう,"song, ballad",N3,"노래, 발라드"
空,から,empty,N3,비어 있는
殻,から,"shell, husk, hull",N3,"껍질, 껍질, 선체"
柄,がら,pattern; build; character,N3,무늬; 짓다; 성격
刈る,かる,"to cut (hair), to mow (grass), to harvest",N3,"(머리카락을) 자르다, 깎다 (풀), 수확하다"
河,かわ,"river, stream",N3,"강, 시내"
皮,かわ,"skin, hide, leather",N3,"피부, 숨기기, 가죽"
革,かわ,leather,N3,가죽
可愛そう,かわいそう,"poor, pitiable, pathetic",N3,"가난한, 불쌍한, 한심한"
可愛らしい,かわいらしい,"lovely, sweet",N3,"사랑스러운, 달콤한"
乾かす,かわかす,to dry,N3,말리다
渇く,かわく,to be thirsty,N3,목마르다
代る,かわる,"to take the place of, to relieve, to be substituted for",N3,"~을 대신하다, 대신하다, 대신하다"
缶,かん,"can, tin",N3,"캔, 주석"
勘,かん,"perception, intuition, the sixth sense",N3,"지각, 직관, 육감"
考え,かんがえ,"thinking, thought, ideas",N3,"생각, 생각, 아이디어"
感覚,かんかく,"sense, sensation",N3,"감각, 감각"
間隔,かんかく,"space, interval, SPC",N3,"공간, 간격, SPC"
観客,かんきゃく,"audience, spectator(s)",N3,"청중, 관중"
環境,かんきょう,"environment, circumstance",N3,"환경, 상황"
歓迎,かんげい,"welcome, reception",N3,"환영, 리셉션"
観光,かんこう,sightseeing,N3,관광
観察,かんさつ,"observation, survey",N3,"관찰, 조사"
感じ,かんじ,"feeling, sense, impression",N3,"느낌, 감각, 인상"
感謝,かんしゃ,"thanks, gratitude",N3,"감사합니다, 감사합니다"
患者,かんじゃ,patient,N3,인내심 있는
勘定,かんじょう,"calculation, counting, consideration",N3,"계산, 계산, 고려"
感情,かんじょう,"emotion(s), feeling(s), sentiment",N3,"감정(들), 느낌(들), 정서"
感じる,かんじる,"to feel, to sense",N3,"느끼다, 감지하다"
感心,かんしん,admiration,N3,감탄
関心,かんしん,"concern, interest",N3,"관심, 관심"
関する,かんする,"to concern, to be related",N3,"걱정하다, 관련되다"
完成,かんせい,"complete, completion; perfection",N3,"완료, 완료; 완전"
完全,かんぜん,"perfection, completeness",N3,"완벽함, 완전함"
乾燥,かんそう,"dry, arid, dehydrated",N3,"건조한, 건조한, 탈수된"
感想,かんそう,"(one's) impressions, (one's) thoughts",N3,"(사람의) 인상, (사람의) 생각"
感動,かんどう,"being deeply moved, excitement",N3,"깊은 감동, 설렘"
監督,かんとく,"supervision, control, (movie) director",N3,"감독, 통제, (영화)감독"
管理,かんり,"control, management (e.g., of a business)",N3,"통제, 관리(예: 사업)"
完了,かんりょう,"completion, conclusion",N3,"완성, 결론"
関連,かんれん,"relation, connection, relevance",N3,"관계, 연결, 관련성"
議員,ぎいん,"member of the Diet, congress, or parliament",N3,"국회의원, 국회의원, 국회의원"
記憶,きおく,"memory, recollection, remembrance",N3,"기억, 회상, 추억"
気温,きおん,temperature (weather - not used for things),N3,온도 (날씨 - 사물에는 사용되지 않음)
機械,きかい,"machine, machinery",N3,"기계, 기계류"
器械,きかい,instrument,N3,기구
議会,ぎかい,"Diet, congress, parliament",N3,"국회, 국회, 국회"
期間,きかん,"period, term",N3,"기간, 기간"
機関,きかん,"engine; institution, organization",N3,"엔진; 기관, 조직"
企業,きぎょう,"industry, business, undertaking",N3,"산업, 사업, 사업"
効く,きく,to be effective,N3,효과적이다
期限,きげん,"deadline, term",N3,"마감일, 기간"
機嫌,きげん,"humor, temper, mood",N3,"유머, 기분, 기분"
気候,きこう,climate,N3,기후
岸,きし,"bank, coast, shore",N3,"은행, 해안, 해안"
生地,きじ,fabric; dough,N3,구조; 가루 반죽
記事,きじ,"article, news story",N3,"기사, 뉴스 기사"
技師,ぎし,"engineer, technician",N3,"엔지니어, 기술자"
記者,きしゃ,reporter,N3,보고자
傷,きず,"wound, injury, hurt",N3,"상처, 부상, 상처"
期待,きたい,"expectation, anticipation, hope",N3,"기대, 기대, 희망"
気体,きたい,"vapor, gas",N3,"증기, 가스"
帰宅,きたく,returning home,N3,집으로 돌아가다
貴重,きちょう,"precious, valuable",N3,"귀중한, 귀중한"
議長,ぎちょう,chairman,N3,의장
きちんと,きちんと,"precisely, accurately",N3,"정확하게, 정확하게"
きつい,きつい,"tight, close, intense",N3,"단단한, 가까운, 강렬한"
気付く,きづく,"to notice, to recognize, to become aware of",N3,"알아채다, 인식하다, 알아차리다"
気に入る,きにいる,"to like, to be please",N3,"좋아하다, 부탁하다"
記入,きにゅう,"entry, filling in of forms",N3,"입력, 양식 작성"
記念,きねん,"commemoration, memory",N3,"기념, 기억"
機能,きのう,"function, faculty",N3,"기능, 교수진"
気の毒,きのどく,"pitiful, a pity",N3,"불쌍하다, 불쌍하다"
寄付,きふ,"contribution, donation",N3,"기부, 기부"
希望,きぼう,"hope, wish, aspiration",N3,"희망, 소원, 포부"
基本,きほん,"basic, basis",N3,"기본, 기초"
決まり,きまり,"settlement, conclusion, rule",N3,"해결, 결론, 규칙"
気味,きみ,"-like, -looking, -looked",N3,"-처럼, -보고, -보는"
奇妙,きみょう,"strange, queer, curious",N3,"이상한, 이상한, 이상한"
義務,ぎむ,"duty, obligation, responsibility",N3,"의무, 의무, 책임"
疑問,ぎもん,"question, problem, doubt",N3,"질문, 문제, 의심"
逆,ぎゃく,"reverse, opposite",N3,"반대, 반대"
キャプテン,キャプテン,captain,N3,선장
キャンプ,キャンプ,camp,N3,캠프
旧,きゅう,ex-,N3,전-
級,きゅう,"class, grade, rank",N3,"클래스, 등급, 직급"
球,きゅう,"globe, sphere, ball",N3,"지구본, 구, 공"
休暇,きゅうか,"vacation, holiday, day off",N3,"휴가, 휴일, 쉬는 날"
休憩,きゅうけい,"rest, break, intermission",N3,"휴식, 휴식, 휴식"
急激,きゅうげき,"sudden, precipitous, radical",N3,"갑작스러운, 급격한, 급진적인"
吸収,きゅうしゅう,"absorption, suction",N3,"흡수, 흡입"
救助,きゅうじょ,"relief, aid, rescue",N3,"구호, 원조, 구조"
急速,きゅうそく,"rapid (e.g., progress)",N3,빠른 (예: 진행)
